810896752	10	Skogbruk.
810896752	20
811014982	10	Religiøse organisasjoner
811544922	10	Trenings- og svømmeinstruktør.
811545422	10	Transport av varer på vei og budtjenester.
811545902	10	Fluefiskeguide. Arrangering av guidet fisketur,
811545902	20	fluefiskekurs/undervisning og diverse aftenkurs innen fluefiske.
811546062	10	Tjenester som veiledning til utlendinger mot offentlige virksomheter.
811546062	20	Regnskapshjelp for småbedrifter.
